"id","date","base_currency","sgd","eur","aud","idr"
"2020-02-25","2020-02-25 19:26:16","USD",1.3997,0.9228,1.5157,13953.0000
"2020-02-26","2020-02-26 19:26:17","USD",1.3978,0.9187,1.5225,13993.7500
"2020-02-27","2020-02-27 19:26:17","USD",1.3951,0.9137,1.5212,13855.5406
"2020-02-28","2020-02-28 19:26:16","USD",1.3958,0.9096,1.5385,14344.9500
"2020-02-29","2020-02-29 10:18:12","USD",1.3933,0.9068,1.5364,13976.4960
"2020-03-01","2020-03-01 10:20:09","USD",1.3962,0.9049,1.5457,13947.2171
"2020-03-02","2020-03-02 10:20:38","USD",1.3885,0.8974,1.5271,14230.0000
"2020-03-03","2020-03-03 10:21:05","USD",1.3875,0.8947,1.5192,14199.5500
"2020-03-04","2020-03-04 22:29:14","USD",1.3853,0.8988,1.5116,14143.1034
"2020-03-05","2020-03-05 22:29:13","USD",1.3854,0.8939,1.5152,14245.0000
"2020-03-06","2020-03-06 22:29:14","USD",1.3786,0.8832,1.5079,14365.5500
"2020-03-07","2020-03-07 22:29:13","USD",1.3783,0.8860,1.5045,14255.9695
"2020-03-08","2020-03-08 22:29:15","USD",1.3787,0.8860,1.5044,14256.2485
"2020-03-09","2020-03-09 22:29:17","USD",1.3841,0.8770,1.5137,14366.0000
"2020-03-10","2020-03-10 22:29:15","USD",1.3890,0.8793,1.5286,14285.4500
"2020-03-11","2020-03-11 22:29:16","USD",1.3885,0.8814,1.5304,14333.0000
"2020-03-12","2020-03-12 22:29:20","USD",1.4051,0.8897,1.5738,14610.0000
"2020-03-13","2020-03-13 22:29:21","USD",1.4131,0.8989,1.5905,14518.5000
"2020-03-14","2020-03-14 22:29:18","USD",1.4151,0.8973,1.6179,14656.9100
"2020-03-15","2020-03-15 22:29:19","USD",1.4151,0.8973,1.6179,14656.9100
"2020-03-16","2020-03-16 22:29:18","USD",1.4214,0.8969,1.6340,14964.5000
"2020-03-17","2020-03-17 22:29:18","USD",1.4287,0.9095,1.6667,15373.0000
"2020-03-18","2020-03-18 22:29:17","USD",1.4422,0.9167,1.7007,15446.0500
"2020-03-19","2020-03-19 22:29:20","USD",1.4464,0.9256,1.7190,15747.5000
"2020-03-20","2020-03-20 22:29:19","USD",1.4494,0.9351,1.7160,15998.7500
"2020-03-21","2020-03-21 22:29:31","USD",1.4497,0.9291,1.7262,15779.3785
"2020-03-22","2020-03-22 22:29:26","USD",1.4497,0.9291,1.7262,15770.8925
"2020-03-23","2020-03-23 22:29:27","USD",1.4598,0.9265,1.7157,16587.5000
"2020-03-24","2020-03-24 22:29:28","USD",1.4482,0.9248,1.6889,16265.0000
"2020-03-25","2020-03-25 22:29:27","USD",1.4481,0.9261,1.6718,16150.0500
"2020-03-26","2020-03-26 22:29:22","USD",1.4350,0.9112,1.6561,16065.0000
"2020-03-27","2020-03-27 22:29:24","USD",1.4343,0.9106,1.6497,16337.5000
"2020-03-28","2020-03-28 22:29:24","USD",1.4278,0.8954,1.6220,16019.9640
"2020-03-29","2020-03-29 22:29:24","USD",1.4278,0.8954,1.6220,16019.9640
"2020-03-30","2020-03-30 22:29:26","USD",1.4243,0.9065,1.6267,16030.4000
"2020-03-31","2020-03-31 22:29:29","USD",1.4257,0.9130,1.6386,16030.4000
